label,num_outgoing_packets,num_outgoing_packets_fraction,mean_outgoing_packet_order_idx,total_packets,incoming_count_first30,outgoing_count_first30,last_ts,max_dt,num_bursts,mean_burst_length,mean_outgoing_burst_length,max_burst_length,iat_mean,packets_per_sec,direction_changes
-1,29,0.2230769230769231,36.75862068965517,130,16,13,5.56,0.75,36,3.611111111111111,1.7058823529411764,32.0,0.0431007751937984,23.38129496402878,35
-1,738,0.0743427017225748,3845.2466124661246,9927,17,12,11.88,1.5499999999999998,776,12.792525773195877,1.9069767441860463,100.0,0.001196856739875,835.6060606060605,775
-1,74,0.2061281337047353,155.90540540540542,359,16,13,17.81,4.149999999999999,77,4.662337662337662,1.947368421052632,33.0,0.0497486033519553,20.157215047726,76
-1,541,0.0543827905106554,4667.994454713494,9948,20,9,9.17,1.35,733,13.57162346521146,1.4781420765027322,85.0,0.0009218859957776,1084.8418756815704,732
-1,293,0.1168261562998405,1227.269624573379,2508,26,3,53.59,10.060000000000002,341,7.354838709677419,1.723529411764706,70.0,0.0213761467889908,46.79977607762642,340
-1,241,0.0443830570902394,2483.4398340248963,5430,26,3,12.68,3.54,404,13.44059405940594,1.199004975124378,72.0,0.0023356050838091,428.2334384858044,403
-1,70,0.0527108433734939,585.4,1328,17,12,25.4,12.21,108,12.296296296296296,1.320754716981132,62.0,0.0191409193669932,52.28346456692913,107
-1,194,0.0434685189334528,1604.1443298969073,4463,18,11,14.1,1.62,281,15.882562277580073,1.3857142857142857,84.0,0.0031600179291797,316.5248226950355,280
-1,323,0.0722595078299776,2020.4520123839009,4470,19,10,41.87,15.89,372,12.016129032258064,1.745945945945946,66.0,0.0093689863504139,106.75901600191068,371
-1,428,0.0429244809948851,4250.128504672897,9971,16,13,9.73,1.18,672,14.83779761904762,1.2776119402985076,81.0,0.00097592778335,1024.7687564234327,671
-1,363,0.0363691012924556,4167.504132231405,9981,19,10,12.35,2.3600000000000003,616,16.20292207792208,1.1824104234527688,91.0,0.0012374749498997,808.1781376518219,615
-1,762,0.0809776833156216,4193.98687664042,9410,21,8,25.06,5.84,844,11.149289099526069,1.809976247030879,93.0,0.0026634073759166,375.4988028731046,843
-1,154,0.1013824884792626,727.8636363636364,1519,25,4,11.81,1.34,178,8.53370786516854,1.75,59.0,0.0077799736495388,128.6198137171888,177
-1,661,0.0663921253515468,3924.425113464448,9956,20,9,39.64,3.51,986,10.0973630831643,1.3434959349593496,96.0,0.0039819186338523,251.16044399596367,985
-1,406,0.0585436193222783,2636.0591133004928,6935,20,9,48.99,13.130000000000004,457,15.175054704595183,1.780701754385965,100.0,0.0070651860398038,141.55950193917124,456
-1,142,0.1347248576850095,363.7464788732394,1054,20,9,34.03,27.92,129,8.170542635658915,2.21875,64.0,0.0323171889838556,30.972671172494856,128
-1,215,0.0580140313005936,1590.139534883721,3706,19,10,16.64,3.69,294,12.605442176870747,1.4726027397260273,96.0,0.0044912280701754,222.71634615384616,293
-1,557,0.0559911540008041,4353.156193895871,9948,24,5,13.64,2.05,708,14.05084745762712,1.5779036827195467,95.0,0.0013712677189102,729.3255131964809,707
-1,81,0.135678391959799,196.0,597,17,12,9.13,2.32,100,5.97,1.653061224489796,50.0,0.0153187919463087,65.38882803943045,99
-1,12,0.2181818181818181,21.25,55,21,8,4.89,1.62,20,2.75,1.3333333333333333,14.0,0.0905555555555555,11.247443762781186,19
-1,349,0.0724066390041493,1899.6074498567336,4820,20,9,53.26,21.83,412,11.699029126213592,1.702439024390244,67.0,0.0110520854949159,90.49943672549756,411
-1,175,0.0477750477750477,1433.3942857142856,3663,19,10,14.58,5.01,275,13.32,1.2773722627737227,79.0,0.0039814309120699,251.23456790123456,274
-1,339,0.0695812807881773,2145.5634218289088,4872,21,8,39.69,0.7599999999999999,434,11.225806451612904,1.5694444444444444,78.0,0.0081482241839458,122.75132275132276,433
-1,56,0.1842105263157894,100.98214285714286,304,17,12,5.53,1.09,63,4.825396825396825,1.8064516129032255,49.0,0.0182508250825082,54.97287522603978,62
-1,501,0.0821850393700787,2680.3672654690617,6096,19,10,27.16,9.72,502,12.143426294820715,2.004,91.0,0.004456111566858,224.4477172312224,501
-1,224,0.069242658423493,1423.25,3235,19,10,36.03,11.46,300,10.783333333333331,1.5033557046979866,64.0,0.0111410018552875,89.78628920344157,299
-1,23,0.2446808510638297,30.52173913043478,94,18,11,4.2,0.91,32,2.9375,1.5333333333333334,32.0,0.0451612903225806,22.38095238095238,31
-1,213,0.0420865441612329,1813.5821596244127,5061,17,12,8.36,1.88,346,14.627167630057803,1.2383720930232558,78.0,0.0016521739130434,605.3827751196172,345
-1,545,0.0547408597830454,3894.833027522936,9956,19,10,9.61,0.8499999999999999,704,14.142045454545457,1.552706552706553,93.0,0.0009653440482169,1036.0041623309053,703
-1,231,0.0735668789808917,1235.6623376623377,3140,20,9,29.23,11.68,298,10.536912751677852,1.5608108108108107,84.0,0.0093118827652118,107.42387957577832,297
-1,30,0.180722891566265,61.2,166,17,12,5.4,0.91,38,4.368421052631579,1.6666666666666667,37.0,0.0327272727272727,30.74074074074074,37
-1,79,0.1791383219954648,163.50632911392404,441,18,11,22.44,6.0600000000000005,70,6.3,2.323529411764706,39.0,0.051,19.6524064171123,69
-1,68,0.1954022988505747,191.2058823529412,348,17,12,27.19,11.93,80,4.35,1.7435897435897436,47.0,0.07835734870317,12.798823096726736,79
-1,68,0.139917695473251,243.36764705882356,486,23,6,13.83,3.92,86,5.651162790697675,1.619047619047619,48.0,0.0285154639175257,35.140997830802604,85
-1,270,0.0619834710743801,1844.3111111111111,4356,15,14,49.63,19.36,329,13.240121580547113,1.646341463414634,69.0,0.0113960964408725,87.76949425750554,328
-1,90,0.081081081081081,472.1333333333333,1110,16,13,8.48,1.2899999999999991,142,7.816901408450704,1.2857142857142858,84.0,0.0076465284039675,130.89622641509433,141
-1,485,0.060937303681367,4635.222680412371,7959,18,11,41.2,10.48,644,12.358695652173912,1.510903426791277,80.0,0.0051771801960291,193.1796116504854,643
-1,297,0.0418133183162044,3339.333333333333,7103,19,10,23.31,15.689999999999998,452,15.714601769911503,1.32,86.0,0.0032821740354829,304.7190047190047,451
-1,285,0.1066616766467065,1210.119298245614,2672,15,14,37.64,17.069999999999997,296,9.027027027027026,1.9387755102040816,52.0,0.0140921003369524,70.98831030818279,295
-1,464,0.0518841552051884,4250.0301724137935,8943,21,8,40.61,14.849999999999998,631,14.172741679873218,1.4730158730158731,74.0,0.0045414895996421,220.21669539522284,630
-1,438,0.0439141768598355,4467.924657534247,9974,20,9,15.28,1.12,686,14.53935860058309,1.280701754385965,98.0,0.001532136769277,652.7486910994764,685
