label,num_outgoing_packets_fraction,mean_outgoing_packet_order_idx,incoming_count_first30,outgoing_count_first30,num_bursts,mean_burst_length,mean_outgoing_burst_length,max_burst_length,iat_mean,packets_per_sec,direction_changes,num_outgoing_packets_log1p,total_packets_log1p,last_ts_log1p,max_dt_log1p
0,0.0851513019000703,773.3223140495868,20,9,157,9.05095541401274,1.551282051282051,66.0,0.0071408450704225,140.13806706114397,156,4.804021044733257,7.259819610363186,2.410542234499138,0.6523251860396901
0,0.1544401544401544,226.1625,21,8,95,5.4526315789473685,1.702127659574468,50.0,0.0196518375241779,50.98425196850393,94,4.394449154672439,6.251903883165888,2.412335956953165,1.5238800240724537
0,0.0868924889543446,786.1101694915254,22,7,153,8.875816993464053,1.5526315789473684,50.0,0.0081871775976418,122.23222322232223,152,4.77912349311153,7.214504414151143,2.494031557565001,1.0188473201992472
0,0.0843706777316735,820.139344262295,20,9,161,8.98136645962733,1.525,70.0,0.0092456747404844,108.23353293413174,160,4.812184355372417,7.277247726631484,2.664446563620078,0.3784364357202456
0,0.0817923186344238,789.6086956521739,21,8,159,8.842767295597485,1.4556962025316456,60.0,0.0075729537366548,132.14285714285714,158,4.7535901911063645,7.249215057114389,2.454447442303292,0.343589704390077
0,0.1216457960644007,249.5735294117647,21,8,83,6.734939759036145,1.6585365853658536,68.0,0.0192473118279569,52.04841713221602,82,4.23410650459726,6.327936783729195,2.4630018143999504,1.5325568680981427
0,0.0835755813953488,800.6782608695652,22,7,155,8.87741935483871,1.4935064935064934,52.0,0.01152,86.86868686868686,154,4.7535901911063645,7.227662498728655,2.823757008814181,1.0818051703517289
0,0.089807555238774,806.7301587301587,21,8,153,9.169934640522875,1.6578947368421053,62.0,0.0063124108416547,158.5310734463277,152,4.844187086458591,7.247080584585756,2.2874714551839976,1.1908875647772803
0,0.1241134751773049,259.1714285714286,21,8,89,6.337078651685394,1.5909090909090908,55.0,0.0209946714031971,47.71573604060914,88,4.262679877041316,6.336825731146441,2.551006451492524,1.5686159179138457
0,0.1312056737588652,258.2567567567568,21,8,87,6.482758620689655,1.7209302325581397,50.0,0.0219360568383658,45.66801619433198,86,4.31748811353631,6.336825731146441,2.5915163848462583,1.297463147413275
0,0.0822206605762473,806.982905982906,21,8,151,9.42384105960265,1.56,54.0,0.0089662447257383,111.6078431372549,150,4.770684624465665,7.261225091971921,2.6210388241125804,0.8544153281560676
0,0.1181657848324514,256.5970149253731,21,8,89,6.370786516853933,1.5227272727272727,53.0,0.021643109540636,46.285714285714285,88,4.219507705176107,6.342121418721152,2.583997552432231,1.2781522025001877
0,0.1261101243339254,253.32394366197184,21,8,87,6.471264367816092,1.6511627906976745,46.0,0.0253558718861209,39.50877192982456,86,4.276666119016055,6.335054251498059,2.724579503053421,1.1817271953786164
